media	mediaws	growth	geneko	addtlCpd										
Carbon-N-Acetyl-Neuraminic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-N-Acetyl-D-Mannosamine	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Oxalic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Oxalomalic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Palatinose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Pectin	excalibur0:narrative_1547442516441	1	none	none										
Carbon-b-Phenylethylamine	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Propionic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Putrescine	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Pyruvic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Quinic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Salicin	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Sebacic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Stachyose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Succinic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Sucrose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Thymidine	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Tricarballylic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Tyramine	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Uridine	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Xylitol	excalibur0:narrative_1547442516441	0	none	none										
Carbon-a-D-Glucose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-a-D-Lactose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-a-Hydroxy-Butyric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-a-Keto-Butyric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-a-Keto-Glutaric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-a-Keto-Valeric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-b-Methyl-D-Galactoside	excalibur0:narrative_1547442516441	0	none	none										
Carbon-b-Methyl-D-Glucoside	excalibur0:narrative_1547442516441	1	none	none										
Carbon-d-Amino-Valeric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Adenine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-Adenosine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Agmatine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ala-Gln	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ala-Gly	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ala-Leu	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ala-Thr	excalibur0:narrative_1547442516441	0	none	none										
